date,home_team,away_team,first_scorer,minute,own_goal,home_score,away_score,tournament,city,country,neutral,lead_won
1916-07-02,Chile,Uruguay,Uruguay,44.0,False,0.0,4.0,Copa América,Buenos Aires,Argentina,True,True
1916-07-06,Argentina,Chile,Argentina,2.0,False,6.0,1.0,Copa América,Buenos Aires,Argentina,False,True
1916-07-08,Brazil,Chile,Brazil,29.0,False,1.0,1.0,Copa América,Buenos Aires,Argentina,True,False
1916-07-10,Argentina,Brazil,Argentina,10.0,False,1.0,1.0,Copa América,Buenos Aires,Argentina,False,False
1916-07-12,Brazil,Uruguay,Brazil,8.0,False,1.0,2.0,Copa América,Buenos Aires,Argentina,True,False
1917-09-30,Uruguay,Chile,Uruguay,20.0,False,4.0,0.0,Copa América,Montevideo,Uruguay,False,True
1917-10-03,Argentina,Brazil,Brazil,8.0,False,4.0,2.0,Copa América,Montevideo,Uruguay,True,False
1917-10-06,Argentina,Chile,Argentina,76.0,True,1.0,0.0,Copa América,Montevideo,Uruguay,True,True
1917-10-07,Uruguay,Brazil,Uruguay,8.0,False,4.0,0.0,Copa América,Montevideo,Uruguay,False,True
1917-10-12,Brazil,Chile,Brazil,21.0,False,5.0,0.0,Copa América,Montevideo,Uruguay,True,True
1917-10-14,Uruguay,Argentina,Uruguay,62.0,False,1.0,0.0,Copa América,Montevideo,Uruguay,False,True
1919-05-11,Brazil,Chile,Brazil,19.0,False,6.0,0.0,Copa América,Rio de Janeiro,Brazil,False,True
1919-05-13,Argentina,Uruguay,Uruguay,19.0,False,2.0,3.0,Copa América,Rio de Janeiro,Brazil,True,True
1919-05-17,Chile,Uruguay,Uruguay,31.0,False,0.0,2.0,Copa América,Rio de Janeiro,Brazil,True,True
1919-05-18,Brazil,Argentina,Brazil,22.0,False,3.0,1.0,Copa América,Rio de Janeiro,Brazil,False,True
1919-05-22,Argentina,Chile,Argentina,10.0,False,4.0,1.0,Copa América,Rio de Janeiro,Brazil,True,True
1919-05-26,Brazil,Uruguay,Uruguay,13.0,False,2.0,2.0,Copa América,Rio de Janeiro,Brazil,False,False
1919-05-29,Brazil,Uruguay,Brazil,122.0,False,1.0,0.0,Copa América,Rio de Janeiro,Brazil,False,True
1920-09-11,Chile,Brazil,Brazil,53.0,False,0.0,1.0,Copa América,Viña del Mar,Chile,False,True
1920-09-12,Uruguay,Argentina,Uruguay,10.0,False,1.0,1.0,Copa América,Viña del Mar,Chile,True,False
1920-09-20,Chile,Argentina,Argentina,13.0,False,1.0,1.0,Copa América,Viña del Mar,Chile,False,False
1920-09-25,Argentina,Brazil,Argentina,40.0,False,2.0,0.0,Copa América,Viña del Mar,Chile,True,True
1920-10-03,Chile,Uruguay,Uruguay,37.0,False,1.0,2.0,Copa América,Viña del Mar,Chile,False,True
1921-10-02,Argentina,Brazil,Argentina,27.0,False,1.0,0.0,Copa América,Buenos Aires,Argentina,False,True
1921-10-09,Paraguay,Uruguay,Paraguay,9.0,False,2.0,1.0,Copa América,Buenos Aires,Argentina,True,True
1921-10-12,Brazil,Paraguay,Brazil,21.0,False,3.0,0.0,Copa América,Buenos Aires,Argentina,True,True
1921-10-16,Argentina,Paraguay,Argentina,1.0,False,3.0,0.0,Copa América,Buenos Aires,Argentina,False,True
1921-10-23,Brazil,Uruguay,Uruguay,1.0,False,1.0,2.0,Copa América,Buenos Aires,Argentina,True,True
1921-10-30,Argentina,Uruguay,Argentina,57.0,False,1.0,0.0,Copa América,Buenos Aires,Argentina,False,True
1922-09-17,Brazil,Chile,Brazil,9.0,False,1.0,1.0,Copa América,Rio de Janeiro,Brazil,False,False
1922-09-23,Chile,Uruguay,Uruguay,10.0,False,0.0,2.0,Copa América,Rio de Janeiro,Brazil,True,True
1922-09-24,Brazil,Paraguay,Brazil,14.0,False,1.0,1.0,Copa América,Rio de Janeiro,Brazil,False,False
1922-09-28,Argentina,Chile,Argentina,10.0,False,4.0,0.0,Copa América,Rio de Janeiro,Brazil,True,True
1922-10-05,Chile,Paraguay,Paraguay,5.0,False,0.0,3.0,Copa América,Rio de Janeiro,Brazil,True,True
1922-10-08,Argentina,Uruguay,Uruguay,43.0,False,0.0,1.0,Copa América,Rio de Janeiro,Brazil,True,True
1922-10-12,Paraguay,Uruguay,Paraguay,7.0,False,1.0,0.0,Copa América,Rio de Janeiro,Brazil,True,True
1922-10-15,Brazil,Argentina,Brazil,42.0,False,2.0,0.0,Copa América,Rio de Janeiro,Brazil,False,True
1922-10-18,Argentina,Paraguay,Argentina,63.0,False,2.0,0.0,Copa América,Rio de Janeiro,Brazil,True,True
1922-11-06,Brazil,Paraguay,Brazil,11.0,False,3.0,0.0,Copa América,Rio de Janeiro,Brazil,False,True
1923-10-29,Argentina,Paraguay,Paraguay,10.0,False,4.0,3.0,Copa América,Montevideo,Uruguay,True,False
1923-11-04,Uruguay,Paraguay,Uruguay,11.0,False,2.0,0.0,Copa América,Montevideo,Uruguay,False,True
1923-11-11,Brazil,Paraguay,Paraguay,56.0,False,0.0,1.0,Copa América,Montevideo,Uruguay,True,True
1923-11-18,Argentina,Brazil,Argentina,11.0,False,2.0,1.0,Copa América,Montevideo,Uruguay,True,True
1923-11-25,Uruguay,Brazil,Uruguay,56.0,False,2.0,1.0,Copa América,Montevideo,Uruguay,False,True
1923-12-02,Uruguay,Argentina,Uruguay,28.0,False,2.0,0.0,Copa América,Montevideo,Uruguay,False,True
1924-05-25,Italy,Spain,Italy,84.0,True,1.0,0.0,Olympic Games,Colombes,France,True,True
1924-05-25,Czechoslovakia,Turkey,Czechoslovakia,21.0,False,5.0,2.0,Olympic Games,Paris,France,True,True
1924-05-25,United States,Estonia,United States,15.0,False,1.0,0.0,Olympic Games,Vincennes,France,True,True
1924-05-26,Uruguay,Yugoslavia,Uruguay,20.0,False,7.0,0.0,Olympic Games,Colombes,France,True,True
1924-05-26,Hungary,Poland,Hungary,14.0,False,5.0,0.0,Olympic Games,Paris,France,True,True
1924-05-27,France,Latvia,France,17.0,False,7.0,0.0,Olympic Games,Paris,France,False,True
1924-05-27,Netherlands,Romania,Netherlands,8.0,False,6.0,0.0,Olympic Games,Colombes,France,True,True
1924-05-28,Switzerland,Czechoslovakia,Czechoslovakia,21.0,False,1.0,1.0,Olympic Games,Paris,France,True,False
1924-05-28,Republic of Ireland,Bulgaria,Republic of Ireland,75.0,False,1.0,0.0,Olympic Games,Colombes,France,True,True
1924-05-29,Italy,Luxembourg,Italy,20.0,False,2.0,0.0,Olympic Games,Paris,France,True,True
1924-05-29,Uruguay,United States,Uruguay,10.0,False,3.0,0.0,Olympic Games,Paris,France,True,True
1924-05-29,Egypt,Hungary,Egypt,4.0,False,3.0,0.0,Olympic Games,Paris,France,True,True
1924-05-30,Switzerland,Czechoslovakia,Switzerland,87.0,False,1.0,0.0,Olympic Games,Paris,France,True,True
1924-06-01,France,Uruguay,Uruguay,2.0,False,1.0,5.0,Olympic Games,Colombes,France,False,True
1924-06-01,Sweden,Egypt,Sweden,5.0,False,5.0,0.0,Olympic Games,Paris,France,True,True
1924-06-02,Switzerland,Italy,Switzerland,47.0,False,2.0,1.0,Olympic Games,Paris,France,True,True
