depth,learning_rate,l2_leaf_reg,min_data_in_leaf,random_strength,bagging_temperature,border_count,mean_mse,std_mse
4,0.01,1,1,0.5,0,128,0.07354238590896074,0.0005253563144519434
4,0.01,1,1,0.5,0,254,0.07314852895765551,0.0004528940139253326
4,0.01,1,1,0.5,0.5,128,0.07342949293190605,0.0005063775140203262
4,0.01,1,1,0.5,0.5,254,0.07303054715862936,0.0004237327100784199
4,0.01,1,1,0.5,1,128,0.07338575225791141,0.000513949544349332
4,0.01,1,1,0.5,1,254,0.07297895053395019,0.0004410328488542592
4,0.01,1,1,1,0,128,0.07351966234466242,0.0005288383609334767
4,0.01,1,1,1,0,254,0.0731211304260036,0.000453729757168829
4,0.01,1,1,1,0.5,128,0.07343444197629667,0.0005047997360708476
4,0.01,1,1,1,0.5,254,0.07303854406763506,0.0004245347620792988
4,0.01,1,1,1,1,128,0.0733885418644418,0.0005117686457101992
4,0.01,1,1,1,1,254,0.07296787337766629,0.00042728929002486927
4,0.01,1,1,3,0,128,0.07351430511833738,0.000514893013093027
4,0.01,1,1,3,0,254,0.0731165217964781,0.0004580248367810174
4,0.01,1,1,3,0.5,128,0.07345275354675654,0.0004972257122524732
4,0.01,1,1,3,0.5,254,0.07305576189670016,0.00043384324996038334
4,0.01,1,1,3,1,128,0.07339833015562222,0.000479080671634672
4,0.01,1,1,3,1,254,0.07297341104272968,0.0004015946153363173
4,0.01,1,1,5,0,128,0.07353157529362186,0.0005113874498652365
4,0.01,1,1,5,0,254,0.07315185142853867,0.00046630747482301284
4,0.01,1,1,5,0.5,128,0.07347459552493871,0.0004690118009490504
4,0.01,1,1,5,0.5,254,0.07308013232535908,0.00041359053638925666
4,0.01,1,1,5,1,128,0.07341614666834986,0.00046303942994038944
4,0.01,1,1,5,1,254,0.0730008507523707,0.00039723624438774835
4,0.01,1,5,0.5,0,128,0.07354238590896074,0.0005253563144519434
4,0.01,1,5,0.5,0,254,0.07314852895765551,0.0004528940139253326
4,0.01,1,5,0.5,0.5,128,0.07342949293190605,0.0005063775140203262
4,0.01,1,5,0.5,0.5,254,0.07303200252284367,0.0004237111722570584
4,0.01,1,5,0.5,1,128,0.07338570219304483,0.0005139921361309256
4,0.01,1,5,0.5,1,254,0.07297892361870614,0.0004410592236711353
4,0.01,1,5,1,0,128,0.07351966234466242,0.0005288383609334767
4,0.01,1,5,1,0,254,0.0731211304260036,0.000453729757168829
4,0.01,1,5,1,0.5,128,0.07343444197629667,0.0005047997360708476
4,0.01,1,5,1,0.5,254,0.07303350469917902,0.0004266983378275687
4,0.01,1,5,1,1,128,0.07338826621065726,0.0005120177684718052
4,0.01,1,5,1,1,254,0.07296764949146306,0.0004274071239275845
4,0.01,1,5,3,0,128,0.07351430511833738,0.000514893013093027
4,0.01,1,5,3,0,254,0.0731165217964781,0.0004580248367810174
4,0.01,1,5,3,0.5,128,0.07345275354675654,0.0004972257122524732
4,0.01,1,5,3,0.5,254,0.07305576189670016,0.00043384324996038334
4,0.01,1,5,3,1,128,0.07339833575489106,0.00047907720989415306
4,0.01,1,5,3,1,254,0.0729773841338634,0.0004074248513448727
4,0.01,1,5,5,0,128,0.07353157529362186,0.0005113874498652365
4,0.01,1,5,5,0,254,0.07315185142853867,0.00046630747482301284
4,0.01,1,5,5,0.5,128,0.07347459552493871,0.0004690118009490504
4,0.01,1,5,5,0.5,254,0.0730795252751671,0.0004136141088614569
4,0.01,1,5,5,1,128,0.07341614666834986,0.00046303942994038944
