iter	RMSE
0	0.7361929861
1	0.735615583
2	0.7350590662
3	0.7345313017
4	0.7339525074
5	0.7334324776
6	0.7327888512
7	0.7322286866
8	0.7316737027
9	0.7311346439
10	0.730592319
11	0.730012221
12	0.7294645118
13	0.7289310043
14	0.7284836487
15	0.7279666569
16	0.7274198373
17	0.7269946675
18	0.726470262
19	0.7258735873
20	0.7253576637
21	0.7248109508
22	0.7242023737
23	0.7238060413
24	0.7233206075
25	0.7228326342
26	0.7223149742
27	0.7217258392
28	0.721155844
29	0.720683564
30	0.7201645179
31	0.7196371095
32	0.7191889016
33	0.7187111637
34	0.7181660888
35	0.7176055701
36	0.7171977617
37	0.7166729218
38	0.7161731006
39	0.7156778146
40	0.7153920303
41	0.7148400561
42	0.7144015828
43	0.713875446
44	0.7133461071
45	0.7128500054
46	0.7123924887
47	0.7119586394
48	0.7115177026
49	0.7110397141
50	0.7105515681
51	0.7101059098
52	0.7096334729
53	0.7091415082
54	0.7086979742
55	0.7083017307
56	0.7079797597
57	0.7075009953
58	0.7070858335
59	0.7067524283
60	0.706335285
61	0.7058479363
62	0.7053846104
63	0.7049594155
64	0.7046636491
65	0.7042572233
66	0.7037658122
67	0.7033555455
68	0.702904607
69	0.7025655745
70	0.7022109038
71	0.7018056824
72	0.701535584
73	0.7011625431
74	0.7007314294
75	0.7002811153
76	0.6999392422
77	0.69948782
78	0.699157895
79	0.6988614724
80	0.6984600995
81	0.6980714566
82	0.6976560084
83	0.69729783
84	0.6968695002
85	0.6964824509
86	0.6961105206
87	0.6957577779
88	0.6953554224
89	0.6950328226
90	0.6946740025
91	0.6942656396
92	0.6939523492
93	0.6936373144
94	0.6932171348
95	0.6928486343
96	0.6926047252
97	0.6922432957
98	0.6918197181
99	0.6914952741
100	0.6911549792
101	0.6907336173
102	0.6903084939
103	0.6898958178
104	0.6895322312
105	0.6891650732
106	0.6888512467
107	0.688495415
108	0.6881724719
109	0.6878128865
110	0.6874383088
111	0.6870240489
112	0.6867322557
113	0.6864333618
114	0.6861142602
115	0.6857809216
116	0.6854398417
117	0.6851756311
118	0.6848426564
119	0.684538632
120	0.6841807122
121	0.6839725665
122	0.6837169434
123	0.6833542066
124	0.6830508187
125	0.6827399296
126	0.6824381773
127	0.6821052531
128	0.6818707035
129	0.6815604265
130	0.6812420717
131	0.6809042624
132	0.6805749837
133	0.680227013
134	0.6799223056
135	0.67965969
136	0.6794209506
137	0.6791103124
138	0.6788313736
139	0.6785319165
140	0.6782463619
141	0.6779022599
142	0.6776704265
143	0.6773714874
144	0.677124573
145	0.6767895406
146	0.6765037143
147	0.6762209328
148	0.6758917806
149	0.6756012774
150	0.6753216796
151	0.6751098079
152	0.6748732946
153	0.6746091619
154	0.6743436439
155	0.6741090144
156	0.6738506057
157	0.6735592682
158	0.6732806459
159	0.6730106918
160	0.6727442051
161	0.6724722197
162	0.6722380084
163	0.6719656334
164	0.6717356022
165	0.6714273769
166	0.6711727352
167	0.6708778967
168	0.6705788875
169	0.6703384679
170	0.6700756909
171	0.6698344493
172	0.6695723734
173	0.6693630665
174	0.6690738789
175	0.6688735021
176	0.6686368598
177	0.6684393284
178	0.6682104715
179	0.6679238529
180	0.6677670063
181	0.6676585243
182	0.6673696055
183	0.6671638114
184	0.6670060118
185	0.6667909565
186	0.6665450677
187	0.6664834101
188	0.6662845336
189	0.6660733235
190	0.6658675533
191	0.6656346082
192	0.6653741905
193	0.6651856312
194	0.6649632312
195	0.664793644
196	0.6646469001
197	0.6644114633
198	0.6641789129
199	0.6639791686
200	0.6637652891
201	0.6635555722
202	0.6633750632
203	0.6631400817
204	0.663041462
205	0.6628265318
206	0.6626379872
207	0.6624771696
208	0.6622426146
209	0.6620266865
210	0.6618386335
211	0.6616591522
212	0.6614452355
213	0.6612364891
214	0.6610440011
215	0.6608184017
216	0.6605683983
217	0.6603960314
218	0.6602201929
219	0.6600107986
220	0.6598517239
221	0.6596885131
222	0.6594720219
223	0.6593117459
224	0.6591374489
225	0.6589022301
226	0.6586817468
227	0.6585091658
228	0.6583601771
229	0.6581752878
230	0.6579816415
231	0.6577887024
232	0.657568219
233	0.6573518901
234	0.6571554178
235	0.6569395068
236	0.6567724716
237	0.6565902091
238	0.6564266298
239	0.6562975177
240	0.6561146278
241	0.6559279907
242	0.6557417753
243	0.6555521005
244	0.6553602241
245	0.6551442019
246	0.6549603591
247	0.6547784595
248	0.6546352616
249	0.6544471079
250	0.6542548083
251	0.6540913168
252	0.6538999136
253	0.6537496749
254	0.6535522027
255	0.6534043254
256	0.6532423243
257	0.653065836
258	0.6528951299
259	0.6527325107
260	0.6525500308
261	0.6523445473
262	0.6522022524
263	0.6520153456
264	0.6518625841
265	0.6516840088
266	0.6515659171
267	0.6514289294
268	0.6512790471
269	0.6511559514
270	0.6509918303
271	0.6508169189
272	0.6506945058
273	0.6505824444
274	0.6504187651
275	0.6502776714
276	0.6501207358
277	0.6499576782
278	0.649802517
279	0.6496266027
280	0.6495144251
281	0.649431214
282	0.6492858615
283	0.6491408367
284	0.6490139168
285	0.6488676721
286	0.6486976933
287	0.6485378282
288	0.6484550148
289	0.6483395547
290	0.6482368792
291	0.6480793223
292	0.6479704708
293	0.6478392991
294	0.6477029776
295	0.6476002473
296	0.6474863043
297	0.6473693459
298	0.6472379639
299	0.6471126774
300	0.6469787721
301	0.6468767326
302	0.6467137504
303	0.6465902774
304	0.6464362984
305	0.6462803996
306	0.6461111692
307	0.6459761173
308	0.6458528783
309	0.6457029501
310	0.6456061691
311	0.6454817121
312	0.6453418918
313	0.6452313232
314	0.6451417357
315	0.6450023359
316	0.6448571212
317	0.6447316425
318	0.6446306995
319	0.6445239955
320	0.6443611518
321	0.6442483095
322	0.6441455192
323	0.6440256695
324	0.6438914892
325	0.6437886489
326	0.6436904418
327	0.6436023272
328	0.6434544143
329	0.6433115991
330	0.6431758947
331	0.6430642695
332	0.6429275322
333	0.6427871229
334	0.6426494843
335	0.6425064621
336	0.6423892518
337	0.6422694016
338	0.6421363111
339	0.6420297257
340	0.6418946666
341	0.6417948098
342	0.6416568805
343	0.6415628375
344	0.641466284
345	0.6413366412
346	0.6412398595
347	0.6411494527
348	0.6410444493
349	0.6409349112
350	0.640842908
351	0.6407227077
352	0.6406181526
353	0.6405101756
354	0.6404022915
355	0.640268365
356	0.640125319
357	0.6400194325
358	0.6399047116
359	0.6398102712
360	0.6397257984
361	0.6396340605
362	0.6395311729
363	0.6394203584
364	0.6393659732
365	0.6392689863
366	0.6391462685
367	0.6390557497
368	0.638991204
369	0.6388789627
370	0.6387693802
371	0.6386726268
372	0.6385536083
373	0.6384596045
374	0.6383886461
375	0.6382944562
376	0.6382021212
377	0.6380807437
378	0.6380071294
379	0.6379244648
380	0.6378402182
381	0.6377450879
382	0.63765742
383	0.6375489856
384	0.637487466
385	0.6373914418
386	0.6373248391
387	0.6372379746
388	0.6371446552
389	0.6370335173
390	0.6369677916
391	0.6369205167
392	0.6368627273
393	0.6367550037
394	0.6366596275
395	0.6365426139
396	0.6364360782
397	0.6363642354
398	0.6363005957
399	0.6362258258
400	0.6361239968
401	0.636006959
402	0.6359027452
403	0.6358305644
404	0.6357382834
405	0.6356634696
406	0.6356015558
407	0.635527581
408	0.6354362457
409	0.6353430768
410	0.6352858781
411	0.6351873805
412	0.6350721919
413	0.6349756462
414	0.6348742134
415	0.6347760821
416	0.6346897052
417	0.6346130672
418	0.6345127273
419	0.6343956625
420	0.6343232003
421	0.6342688176
422	0.6341762737
423	0.6341038874
424	0.6340193314
425	0.6339379551
426	0.6338596065
427	0.633813216
428	0.6337388824
429	0.6336524325
430	0.6335665716
431	0.633498487
432	0.6334074709
433	0.6333353585
434	0.6332535392
435	0.6331601131
436	0.6330911774
437	0.6330229051
438	0.6329583488
439	0.6328756453
440	0.6327828303
441	0.6327014194
442	0.6326295988
443	0.6325611687
444	0.6324889859
445	0.6324032784
446	0.6323253995
447	0.6322699202
448	0.6322403588
449	0.6321697579
450	0.632107624
451	0.632063052
452	0.6319978556
453	0.6319148136
454	0.6318502014
455	0.631790544
456	0.6317125552
457	0.6316330329
458	0.6315709734
459	0.6314991851
460	0.631456202
461	0.6313867033
462	0.6313132321
463	0.63125775
464	0.6312086185
465	0.6311679954
466	0.6311145767
467	0.6310490167
468	0.6309511704
469	0.6308829409
470	0.6308341846
471	0.6307459768
472	0.6306765073
473	0.6306232115
474	0.630571741
475	0.6305302904
476	0.6304763534
477	0.6304380424
478	0.630359625
479	0.6302860008
480	0.6302400506
481	0.6301758552
482	0.6301357135
483	0.6300686625
484	0.6300107754
485	0.6299496511
486	0.6299012383
487	0.6298388101
488	0.6298054492
489	0.6297277413
490	0.6296674676
491	0.6296021004
492	0.6295560985
493	0.6295091599
494	0.6294683639
495	0.62941861
496	0.6293583605
497	0.6292899488
498	0.6292079174
499	0.6291633404
500	0.6291109272
501	0.6290278455
502	0.6289604444
503	0.6289033367
504	0.6288404413
505	0.6287932612
506	0.6287605286
507	0.6287039736
508	0.628655884
509	0.6286066942
510	0.6285451743
511	0.6284901359
512	0.6284552235
513	0.6284028016
514	0.6283438297
515	0.6282805577
516	0.6282591402
517	0.6282352286
518	0.6281610479
519	0.6281035082
520	0.6280446975
521	0.627982117
522	0.6279284816
523	0.6278850566
524	0.6278021997
525	0.6277498676
526	0.6276973359
527	0.6276331635
528	0.6275902263
529	0.6275396425
530	0.6274746934
531	0.6274075029
532	0.6273560609
533	0.6272792825
534	0.6272506604
535	0.6272138554
536	0.6271578069
537	0.6271036729
538	0.6270609202
539	0.6270072572
540	0.6269570595
541	0.6269131271
542	0.6268837677
543	0.6268232039
544	0.6267876494
545	0.6267252924
546	0.6266822196
547	0.626648986
548	0.6266127689
549	0.6265599665
550	0.6265088768
551	0.62646748
552	0.6264232224
553	0.6263837352
554	0.6263457837
555	0.626276752
556	0.6262380583
557	0.6261939898
558	0.6261487108
559	0.6261220843
560	0.626087003
561	0.6260416449
562	0.6259868574
563	0.6259441676
564	0.6259036561
565	0.6258583467
566	0.6258088837
567	0.6257530165
