number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_random_strength,state,rmse
131,0.07278531534629813,2026-07-27 05:23:17.884701,2026-07-27 05:23:31.528227,0 days 00:00:13.643526,0.8333129955129245,254,6,1.3630467109604305,0.010007132386538472,32,1.699987960279682,COMPLETE,0.2697875374184251
183,0.07279098057005559,2026-07-27 05:34:21.024262,2026-07-27 05:34:33.118104,0 days 00:00:12.093842,0.8756905417598584,254,6,1.6281695300571648,0.010012125194059177,28,1.6850429965675293,COMPLETE,0.2697980366312097
137,0.07279149743755702,2026-07-27 05:24:29.016860,2026-07-27 05:24:41.084151,0 days 00:00:12.067291,0.9120694377511059,254,6,1.520603573146885,0.010784699602521737,31,1.6471788062323536,COMPLETE,0.2697989945080541
181,0.07279648243162307,2026-07-27 05:33:57.225704,2026-07-27 05:34:09.159020,0 days 00:00:11.933316,0.8741369435938593,254,6,1.6449142845069327,0.01046359732385106,28,1.6777912430350639,COMPLETE,0.2698082326980092
189,0.07279718282236346,2026-07-27 05:35:31.264799,2026-07-27 05:35:43.117882,0 days 00:00:11.853083,0.9121058295444537,254,6,1.4492441908925715,0.010416649277654205,29,1.8221276468883338,COMPLETE,0.26980953063663904
195,0.07279955883105353,2026-07-27 05:38:41.068370,2026-07-27 05:38:52.535395,0 days 00:00:11.467025,0.42191563988343206,254,6,1.5288124955856568,0.010368974925332142,28,1.750866811377122,COMPLETE,0.269813933722952
187,0.0728000590772691,2026-07-27 05:35:07.477923,2026-07-27 05:35:19.414263,0 days 00:00:11.936340,0.8989105336621215,254,6,1.5728433942795021,0.010094096331854667,29,1.7132642755239351,COMPLETE,0.269814860742082
188,0.07280110521927546,2026-07-27 05:35:19.431344,2026-07-27 05:35:31.256048,0 days 00:00:11.824704,0.898947342564704,254,6,1.5810603366947564,0.010040215182028512,29,1.7904123956890707,COMPLETE,0.26981679936444924
164,0.07280230534159642,2026-07-27 05:29:41.386946,2026-07-27 05:29:55.414071,0 days 00:00:14.027125,0.96586625193362,254,6,2.2427531997157004,0.010006555785201345,31,2.0857892577123898,COMPLETE,0.26981902331302815
166,0.07280281877565223,2026-07-27 05:30:28.886140,2026-07-27 05:30:50.968539,0 days 00:00:22.082399,0.9987154042729735,254,6,2.129414452428102,0.010946100228070433,30,2.106914926061689,COMPLETE,0.26981997475289377
